real_world_color,Violet,Blue,Green,Red,Yellow,Orange,Purple,Pink,White,Black,Grey,Brown
Tiger’s Eye,10,10,5,15,50,100,5,5,5,5,5,70
Rust Ember,5,5,5,60,10,100,5,5,5,10,5,70
Cantaloupe,5,5,5,10,10,100,5,70,10,5,5,5
Sunset Coral,5,5,5,50,10,100,5,70,5,5,5,5
Bronzed Pumpkin,5,5,5,10,10,100,5,5,5,5,5,70
Molten Amber,5,10,5,65,75,100,10,5,10,5,5,5
Desert Clay,5,5,5,10,10,100,5,5,5,5,10,80
Imperial Purple,75,10,5,5,5,5,95,5,20,5,5,5
Phoenician Purple,45,5,5,75,10,10,95,5,20,5,5,5
Monarch Purple,75,15,5,10,5,5,100,5,20,5,5,5
Bishop’s Purple,5,5,5,75,10,10,95,5,20,5,5,5
Royal Fig,5,5,5,75,10,10,95,5,20,5,5,5
Blackthorn Purple,10,10,5,5,5,5,95,5,20,75,20,5
Amaranth Shadow,5,5,5,75,10,10,95,5,20,20,5,5
Twilight Purple,10,75,5,5,5,5,95,5,20,10,5,5
Regal Raisin,5,5,5,5,5,5,95,5,20,75,20,5
Majestic Ube,5,5,5,10,10,10,95,70,20,5,5,5
Scepter Purple,75,10,5,5,5,5,95,5,20,5,15,5
Crown Jewel Purple,80,15,5,10,5,5,95,5,20,5,5,5
Nightfall Purple,10,10,5,5,5,5,95,5,20,80,20,5
Astral Purple,50,75,5,5,5,5,95,5,20,5,5,5
Obsidian Purple,10,10,5,5,5,5,95,5,20,80,20,5
Rose Quartz,15,15,5,10,5,5,5,95,70,5,10,5
Blush Silk,5,5,5,10,10,10,5,95,85,5,10,5
Peony Bloom,5,5,5,75,10,10,5,95,5,5,5,5
Ballet Slipper,5,5,5,10,10,10,5,95,85,5,10,5
Dusty Rose,5,5,5,5,5,5,5,95,15,5,80,5
Champagne Pink,5,5,5,10,75,10,5,95,5,15,5,5
Antique Coral,5,5,5,10,10,75,5,95,5,5,5,5
Flamingo Satin,5,5,5,75,10,10,5,95,10,5,5,5
Petal Mist,10,10,5,5,5,5,5,95,75,5,15,5
Raspberry Cream,5,5,5,75,10,10,5,95,5,5,5,5
Shell Blush,5,5,5,10,10,10,5,95,70,5,10,5
Rosewater,10,10,5,5,5,5,5,95,75,5,15,5
Mulled Berry,5,5,5,10,10,10,70,95,5,10,5,5
Orchid Pink,10,10,5,5,5,5,70,95,5,15,5,5
Velvet Fuchsia,10,15,5,10,5,5,75,95,5,5,5,5
Ivory,5,5,5,10,75,10,5,5,100,5,15,5
Alabaster,5,5,5,5,70,5,5,5,100,5,20,5
Pearl,15,15,5,10,5,5,5,70,100,5,15,5
Porcelain,10,75,5,5,5,5,5,5,100,5,15,5
Chalkstone,5,5,5,5,5,5,5,5,100,5,85,5
Milk Glass,5,5,5,10,75,10,5,5,100,5,15,5
Marble Veil,10,10,5,5,5,5,5,5,100,5,80,5
Linen White,5,5,5,10,75,10,5,5,100,5,15,5
Frosted Quartz,15,85,5,10,5,5,5,5,100,5,15,5
Moonstone,15,80,5,10,5,5,5,5,100,5,15,5
Bone China,5,5,5,10,75,10,5,5,100,5,15,5
Cloud Drift,10,75,5,5,5,5,5,5,100,5,15,5
Snow Ash,10,15,5,5,5,5,5,5,100,5,80,5
Vanilla Cream,5,5,5,10,75,10,5,5,100,5,15,5
Opaline,15,80,5,10,5,5,5,5,100,5,15,5
Obsidian,10,10,5,5,5,5,70,5,5,100,20,5
Onyx,10,10,5,10,5,5,5,5,15,100,80,5
Jet Black,5,5,5,5,5,5,5,5,5,100,20,5
Raven Feather,10,75,5,5,5,5,5,5,5,100,20,5
Midnight Ink,10,75,5,5,5,5,5,5,5,100,20,5
Charcoal Noir,5,5,5,5,5,5,5,5,15,100,85,5
Pitchstone,10,10,5,5,5,5,5,5,15,100,80,5
Carbon Shadow,5,5,5,5,5,5,5,5,15,100,85,5
Vantablack,5,5,5,5,5,5,5,5,5,100,20,5
Sable,5,5,5,10,10,10,5,5,5,100,20,70
Black Tourmaline,15,15,5,10,5,5,70,5,5,100,20,5
Noir Velvet,5,5,5,10,10,10,70,5,5,100,20,5
Smoked Ebony,5,5,5,10,10,10,5,5,5,100,20,80
Astral Void,10,50,5,5,5,5,70,5,5,100,20,5
Ironclad Black,5,5,5,5,5,5,5,5,15,100,95,5
Cerulean Frost,10,100,5,5,5,5,5,5,85,5,5,5
Electric Indigo,10,100,5,10,5,5,75,5,20,5,5,5
Titanium Blue,10,100,5,5,5,5,5,5,20,5,80,5
Neptune Teal,10,100,70,5,5,5,5,5,20,5,5,5
Arctic Mint,10,10,95,5,5,5,5,5,75,5,15,20
Glacial Teal,10,80,95,5,5,5,5,5,15,5,15,20
Cosmic Cyan,10,100,70,5,5,5,5,5,20,5,5,5
Photon Blue,10,100,5,10,5,5,10,5,20,5,5,5
Ionized Silver,10,10,5,5,5,5,5,5,100,5,90,5
Mercury Mist,10,10,5,5,5,5,5,5,70,5,100,5
Steel Veil,10,75,5,5,5,5,5,5,15,5,100,5
Graphite Eclipse,5,5,5,5,5,5,5,5,15,100,85,5
Shadow Alloy,5,5,5,5,5,5,5,5,15,85,100,5
Moonlit Steel,10,10,5,5,5,5,5,5,70,5,100,5
Platinum Shadow,10,10,5,5,5,5,5,5,75,15,100,5
Copper Alloy,5,5,5,10,10,100,5,5,5,5,15,70
Rose Gold Luxe,5,5,5,10,10,75,5,95,5,5,15,5
Brushed Bronze,5,5,5,10,10,75,5,5,5,5,20,100
Molten Copper,5,5,5,85,10,100,5,5,10,5,5,5
Auric Flame,5,5,5,20,100,80,5,5,10,5,5,5
Verdant Mist,10,10,95,5,5,5,5,5,70,5,15,20
Emerald Haze,15,80,95,10,5,5,5,5,5,5,15,20
Olive Smoke,5,5,95,5,5,5,5,5,15,5,80,20
Pistachio Frost,10,15,95,5,5,5,5,5,85,5,15,20
Sage Whisper,5,5,95,5,5,5,5,5,15,5,80,20
Coral Blush,5,5,5,10,10,75,5,95,5,5,5,5
Peach Nectar,5,5,5,10,10,100,5,70,20,5,10,5
Tangerine Glow,5,10,5,15,75,100,10,5,5,5,5,5
Apricot Dusk,5,5,5,10,10,100,5,5,5,5,10,70
Mandarin Sun,5,5,5,10,75,100,5,5,10,5,5,5
Ruby Radiance,10,15,5,100,10,10,10,70,20,5,5,5
Cherry Wine,5,5,5,100,10,10,70,5,20,5,5,5
Carmine Flame,5,10,5,100,10,80,10,5,20,5,5,5
Mahogany Rouge,5,5,5,100,10,10,5,5,20,10,5,80
Claret Silk,5,5,5,100,10,10,70,5,20,10,5,5
Amaranth Rose,5,5,5,75,10,10,5,95,5,5,5,5
Carnation Velvet,5,5,5,75,10,10,5,95,5,5,5,5
Fuchsia Burst,10,15,5,10,5,5,75,95,10,5,5,5
Magenta Dream,10,15,5,10,5,5,75,95,5,5,5,5
Bubblegum Satin,5,5,5,10,10,10,5,95,75,5,5,5
Lilac Haze,10,10,5,5,5,5,95,70,20,5,10,5
Mauve Whisper,5,5,5,5,5,5,95,5,20,5,80,5
Orchid Mist,10,10,5,5,5,5,95,70,20,5,10,5
Plum Royale,10,10,5,70,5,5,95,5,20,10,5,5
Violet Smoke,100,10,5,5,5,5,5,5,20,10,75,5
Amber Honey,5,5,5,10,100,75,5,5,5,5,5,5
Topaz Dawn,10,10,5,15,100,10,5,5,75,5,5,5
Citrine Beam,5,5,5,10,100,75,5,5,5,5,5,5
Golden Fennel,5,5,70,10,100,10,5,5,5,5,10,15
Graphite Blue,10,100,5,5,5,5,5,5,20,10,75,5
Twilight Teal,10,100,70,5,5,5,5,5,20,10,5,5
Stormcloud Grey,10,75,5,5,5,5,5,5,15,5,100,5
Dusty Indigo,10,100,5,5,5,5,70,5,20,5,10,5
Cosmic Lavender,10,75,5,5,5,5,95,5,20,5,5,5
Eclipse Black,10,75,5,5,5,5,5,5,5,100,20,5
Onyx Shadow,10,10,5,10,5,5,5,5,15,100,85,5
Soot Veil,5,5,5,5,5,5,5,5,15,100,85,5
Obsidian Mist,10,10,5,5,5,5,70,5,5,100,20,5
Iron Obscura,5,5,5,5,5,5,5,5,15,100,95,5
Pearl Blush,5,5,5,10,10,10,5,70,100,5,15,5
Moonstone Glow,10,75,5,5,5,5,5,5,100,5,15,5
Alabaster Mist,5,5,5,5,5,5,5,5,100,5,85,5
Ivory Lace,5,5,5,10,75,10,5,5,100,5,15,5
Frosted Linen,10,15,5,5,5,5,5,5,100,5,80,5
Shadow Plum,10,10,5,5,5,5,95,5,20,85,20,5
Royal Aubergine,5,5,5,10,10,10,95,5,20,10,5,70
Violet Ink,100,75,5,5,5,5,5,5,20,20,5,5
Sangria Shadow,5,5,5,100,10,10,70,5,20,20,5,5
Blackcurrant Haze,10,10,5,5,5,5,95,5,20,80,20,5
Seafoam Whisper,10,75,95,5,5,5,5,5,10,5,15,20
Lagoon Mist,10,100,70,5,5,5,5,5,20,5,10,5
Azure Dawn,10,100,5,5,5,5,5,5,75,5,10,5
Cerulean Veil,10,100,5,5,5,5,5,5,20,5,75,5
Arctic Blue,10,100,5,5,5,5,5,5,75,5,10,5
Mist Grey,5,5,5,5,5,5,5,5,70,5,100,5
Cocoa Truffle,5,5,5,75,10,10,5,5,5,10,15,95
Espresso Noir,5,5,5,10,10,10,5,5,5,90,20,95
Chestnut Luxe,5,5,5,75,10,10,5,5,5,5,15,100
Mocha Silk,5,5,5,50,75,10,5,5,15,5,15,95
Walnut Shadow,5,5,5,10,10,10,5,5,5,85,20,100
Cinder Red,5,5,5,100,10,10,5,5,20,75,20,5
Bloodstone,15,15,5,100,5,5,5,5,20,10,5,70
Garnet Noir,15,15,5,100,5,5,5,5,20,90,20,5
Crimson Smoke,5,5,5,100,10,10,5,5,20,5,75,5
Rouge Ember,5,5,5,100,10,80,5,5,20,5,5,5
Peach Blossom,5,5,5,10,10,75,5,95,10,5,10,5
Apricot Glow,5,5,5,10,10,100,5,70,10,5,5,5
Coral Sand,5,5,5,10,10,100,5,70,5,5,10,5
Sunset Peach,5,5,5,10,10,100,5,70,5,5,10,5
Tawny Nectar,5,5,5,10,10,100,5,5,5,5,5,70
Pewter Glow,10,10,5,5,5,5,5,5,70,5,100,5
Silver Sage,10,10,70,5,5,5,5,5,15,5,100,5
Stormy Slate,10,75,5,5,5,5,5,5,15,10,100,5
Ashen Veil,5,5,5,5,5,5,5,5,70,5,100,5
Forest Shadow,10,10,95,5,5,5,5,5,5,85,20,20
Evergreen Mist,10,75,95,5,5,5,5,5,5,5,15,20
Moss Whisper,5,5,95,5,5,5,5,5,70,5,15,20
Olive Veil,5,5,95,10,10,10,5,5,5,5,15,80
Cypress Shadow,10,10,95,5,5,5,5,5,5,85,20,20
